simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
947	2018-02-09 11:00:00	1265.6775904640908	0	1265.6775904640908	0	0.0	900.3224095359092	282.3524523140576	0	548.7834149091057	0	
948	2018-02-09 12:00:00	1149.7847572578996	0	1149.7847572578994	0	0.0	1016.2152427421006	309.5819346411851	0	690.468526572992	0	
949	2018-02-09 13:00:00	1118.1776209289385	0	1118.1776209289385	0	0.0	1047.8223790710615	301.0716475188167	0	671.7994340793202	0	
950	2018-02-09 14:00:00	1091.8383406548041	0	1091.8383406548041	0	0.0	1074.1616593451959	293.97974158350956	0	656.2418570012604	0	
951	2018-02-09 15:00:00	1170.8561814772072	0	1170.8561814772072	0	0.0	995.1438185227928	315.2554593894308	0	702.9145882354399	0	
952	2018-02-09 16:00:00	1202.463317806168	0	1202.463317806168	0	0.0	963.5366821938319	323.76574651179925	0	721.5836807291114	0	
953	2018-02-09 17:00:00	1348.5711500356797	0	1348.5711500356797	0	0.0	817.4288499643203	363.1055838877231	0	796.5479463966615	0	
954	2018-02-09 18:00:00	1294.50045218177	0	1294.50045218177	0	0.0	871.49954781823	348.5469361553131	0	753.2746262709568	0	
955	2018-02-09 19:00:00	1436.7325656620956	0	1436.7325656620956	0	0.0	729.2674343379044	386.8432282059714	0	837.2855424924796	0	
956	2018-02-09 20:00:00	1573.6968230875943	0	1573.6968230875943	0	0.0	592.3031769124057	423.7211390695683	0	918.1849432983906	0	
957	2018-02-09 21:00:00	1663.2503760196514	0	1663.2503760196514	0	0.0	502.7496239803486	447.8336192496125	0	971.0807053637939	0	
958	2018-02-09 22:00:00	1758.0717850065348	0	1758.0717850065348	0	0.0	407.9282149934652	473.3644806167179	0	1027.0879828448092	0	
959	2018-02-09 23:00:00	1690.9817935994265	0	1690.9817935994265	0	0.0	475.0182064005735	455.3003610467154	0	998.7964484114386	0	
960	2018-02-10 00:00:00	1743.6603541476952	0	1743.6603541476952	0	0.0	422.3396458523048	388.9827715254692	0	766.4425600780407	0	
961	2018-02-10 01:00:00	1759.4639223121758	0	1759.4639223121758	0	0.0	406.5360776878242	392.5082951344614	0	773.3891693838839	0	
962	2018-02-10 02:00:00	1701.51750570908	0	1701.51750570908	0	0.0	464.48249429091993	379.5813752348234	0	747.9182685957919	0	
963	2018-02-10 03:00:00	1633.0353769963308	0	1633.0353769963308	0	0.0	532.9646230036692	364.3041062625241	0	717.8162949371377	0	
964	2018-02-10 04:00:00	1569.8211043384085	0	1569.8211043384085	0	0.0	596.1788956615915	350.20201182655535	0	690.0298577137647	0	
