simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
6509	2021-09-29 05:00:00	0	0	0	0	0	0	0	0	7536.06006868768	0.18	
6510	2021-09-29 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	0	0	0	0	8667.35788068894	0.18	
6511	2021-09-29 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	0	0	0	0	13353.076710794221	0.18	
6512	2021-09-29 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	-0.48247887453016425	0.04	-0.48247887453016425	0.04	12517.86904904622	0.18	
6513	2021-09-29 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	-5.646334497997101	0.06	-5.646334497997101	0.06	9420.7711488249	0.2	
6514	2021-09-29 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	-13.913101912600998	0.06	-13.913101912600998	0.06	9914.30576151728	0.2	
6515	2021-09-29 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	-26.572432831533064	0.06	-26.572432831533064	0.06	8812.27405005314	0.2	
6516	2021-09-29 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	-29.088565892942594	0.06	-29.088565892942594	0.06	9759.13010185466	0.2	
6517	2021-09-29 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	-31.217003238662667	0.06	-31.217003238662667	0.06	8899.09592876906	0.2	
6518	2021-09-29 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	-34.02754941049887	0.06	-34.02754941049887	0.06	11265.59586212696	0.2	
6519	2021-09-29 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	-14.854763258432747	0.06	-14.854763258432747	0.06	10691.65620653862	0.2	
6520	2021-09-29 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	-4.054286709842534	0.06	-4.054286709842534	0.06	14040.21868333578	0.2	
6521	2021-09-29 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	0	0	0	0	15456.6711595813	0.18	
6522	2021-09-29 18:00:00	-34.28973695	0.04	-34.28973695	0.04	-0.7214868131418878	0.04	-0.7214868131418878	0.04	16765.5266859565	0.18	
6523	2021-09-29 19:00:00	0	0	0	0	-3.7049216176605904	0.04	-3.7049216176605904	0.04	20477.0149198518	0.18	
6524	2021-09-29 20:00:00	0	0	0	0	-7.900725277580814	0.04	-7.900725277580814	0.04	20987.815751657403	0.18	
6525	2021-09-29 21:00:00	0	0	0	0	-9.989387301191973	0.06	-9.989387301191973	0.06	21038.2335667216	0.2	
6526	2021-09-29 22:00:00	0	0	0	0	-12.331603538431112	0.06	-12.331603538431112	0.06	18488.072480755858	0.2	
6527	2021-09-29 23:00:00	0	0	0	0	-14.956002969554469	0.06	-14.956002969554469	0.06	14463.978642645221	0.2	
6528	2021-09-30 00:00:00	0	0	0	0	-2.5471589620195343	0.06	-2.5471589620195343	0.06	10363.87555207368	0.2	
6529	2021-09-30 01:00:00	0	0	0	0	0	0	0	0	10449.37647311968	0.2	
6530	2021-09-30 02:00:00	0	0	0	0	0	0	0	0	9517.6952152188	0.2	
6531	2021-09-30 03:00:00	0	0	0	0	0	0	0	0	8703.74879433286	0.2	
6532	2021-09-30 04:00:00	0	0	0	0	0	0	0	0	8232.34183394594	0.2	
6533	2021-09-30 05:00:00	0	0	0	0	0	0	0	0	7485.166735354341	0.18	
6534	2021-09-30 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	0	0	0	0	7656.94121402228	0.18	
6535	2021-09-30 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	0	0	0	0	9607.27671079422	0.18	
6536	2021-09-30 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	0	0	0	0	12878.57238237956	0.18	
6537	2021-09-30 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	0	0	0	0	15005.2411488249	0.2	
6538	2021-09-30 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	0	0	0	0	12955.48242818394	0.2	
6539	2021-09-30 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	0	0	0	0	10375.56405005314	0.2	
6540	2021-09-30 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	-0.8460371276218073	0.06	-0.8460371276218073	0.06	9446.79010185466	0.2	
6541	2021-09-30 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	-7.876918351585477	0.06	-7.876918351585477	0.06	11173.38926210238	0.2	
6542	2021-09-30 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	-20.157806760771255	0.06	-20.157806760771255	0.06	10924.8491954603	0.2	
6543	2021-09-30 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	0	0	0	0	11292.96620653862	0.2	
6544	2021-09-30 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	0	0	0	0	13879.91535000244	0.2	
6545	2021-09-30 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	0	0	0	0	13417.78782624796	0.18	
6546	2021-09-30 18:00:00	-34.28973695	0.04	-34.28973695	0.04	0	0	0	0	15490.62001928984	0.18	
6547	2021-09-30 19:00:00	0	0	0	0	0	0	0	0	18729.54825318512	0.18	
6548	2021-09-30 20:00:00	0	0	0	0	0	0	0	0	20960.7824183242	0.18	
6549	2021-09-30 21:00:00	0	0	0	0	0	0	0	0	20292.6369000548	0.2	
6550	2021-09-30 22:00:00	0	0	0	0	-0.2488524971433289	0.06	-0.2488524971433289	0.06	20138.9058140892	0.2	
6551	2021-09-30 23:00:00	0	0	0	0	-5.65022151614777	0.06	-5.65022151614777	0.06	14435.23530931188	0.2	
6552	2021-10-01 00:00:00	0	0	0	0	-15.050807888151779	0.06	-15.050807888151779	0.06	13357.9700560045	0.2	
6553	2021-10-01 01:00:00	0	0	0	0	-29.94658627444123	0.06	-29.94658627444123	0.06	14931.351718079679	0.2	
