simulation_time	physical_time	flexible_loads.LVE.energy	flexible_loads.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
271	2021-01-12 07:00:00	1500	0.18	10138.649627672105	0.18	
272	2021-01-12 08:00:00	1500	0.18	10235.182078205906	0.18	
273	2021-01-12 09:00:00	1500	0.2	7760.008048776179	0.2	
274	2021-01-12 10:00:00	1500	0.2	6646.025691997627	0.2	
275	2021-01-12 11:00:00	1500	0.2	5525.944035721456	0.2	
276	2021-01-12 12:00:00	1500	0.2	4958.620422481837	0.2	
277	2021-01-12 13:00:00	1500	0.2	6782.513266832099	0.2	
278	2021-01-12 14:00:00	1500	0.2	7889.940795613772	0.2	
279	2021-01-12 15:00:00	1500	0.2	8862.171139511787	0.2	
280	2021-01-12 16:00:00	1500	0.2	11278.024461917938	0.2	
281	2021-01-12 17:00:00	1500	0.18	12309.369154192478	0.18	
282	2021-01-12 18:00:00	1500	0.18	13559.65468740184	0.18	
283	2021-01-12 19:00:00	1500	0.18	16157.421654725444	0.18	
284	2021-01-12 20:00:00	1500	0.18	18064.41830062795	0.18	
285	2021-01-12 21:00:00	1500	0.2	17796.243430068283	0.2	
286	2021-01-12 22:00:00	1500	0.2	16385.74970442428	0.2	
287	2021-01-12 23:00:00	1500	0.2	14341.70942343181	0.2	
288	2021-01-13 00:00:00	1500	0.2	10440.951475442203	0.2	
289	2021-01-13 01:00:00	1500	0.2	10925.58092137583	0.2	
290	2021-01-13 02:00:00	1500	0.2	10149.648990348285	0.2	
291	2021-01-13 03:00:00	1500	0.2	9399.103737743215	0.2	
292	2021-01-13 04:00:00	1500	0.2	8431.159167555757	0.2	
293	2021-01-13 05:00:00	1500	0.18	7723.524896105775	0.18	
294	2021-01-13 06:00:00	1500	0.18	7349.091856385786	0.18	
295	2021-01-13 07:00:00	1500	0.18	7035.545211005434	0.18	
296	2021-01-13 08:00:00	1500	0.18	7792.829328205905	0.18	
297	2021-01-13 09:00:00	1500	0.2	7216.48163210952	0.2	
298	2021-01-13 10:00:00	1500	0.2	7774.856108664297	0.2	
299	2021-01-13 11:00:00	1500	0.2	6413.172869054798	0.2	
300	2021-01-13 12:00:00	1500	0.2	6824.008589148508	0.2	
301	2021-01-13 13:00:00	1500	0.2	7039.369600165428	0.2	
302	2021-01-13 14:00:00	1500	0.2	7830.476212280442	0.2	
303	2021-01-13 15:00:00	1500	0.2	8980.324056178457	0.2	
304	2021-01-13 16:00:00	1500	0.2	12709.504211917914	0.2	
305	2021-01-13 17:00:00	1500	0.18	11516.037820859185	0.18	
306	2021-01-13 18:00:00	1500	0.18	12843.074354068545	0.18	
307	2021-01-13 19:00:00	1500	0.18	14398.08648805874	0.18	
308	2021-01-13 20:00:00	1500	0.18	16468.42338396136	0.18	
309	2021-01-13 21:00:00	1500	0.2	15960.573180068286	0.2	
310	2021-01-13 22:00:00	1500	0.2	14671.768621090985	0.2	
311	2021-01-13 23:00:00	1500	0.2	13507.139090098515	0.2	
312	2021-01-14 00:00:00	1500	0.2	10440.951475442203	0.2	
313	2021-01-14 01:00:00	1500	0.2	10925.58092137583	0.2	
314	2021-01-14 02:00:00	1500	0.2	10149.648990348285	0.2	
315	2021-01-14 03:00:00	1500	0.2	9399.103737743215	0.2	
316	2021-01-14 04:00:00	1500	0.2	8431.159167555757	0.2	
317	2021-01-14 05:00:00	1500	0.18	7723.524896105775	0.18	
318	2021-01-14 06:00:00	1500	0.18	7349.091856385786	0.18	
319	2021-01-14 07:00:00	1500	0.18	7035.545211005434	0.18	
320	2021-01-14 08:00:00	1500	0.18	7792.829328205905	0.18	
321	2021-01-14 09:00:00	1500	0.2	7216.48163210952	0.2	
322	2021-01-14 10:00:00	1500	0.2	7774.856108664297	0.2	
323	2021-01-14 11:00:00	1500	0.2	6413.172869054798	0.2	
324	2021-01-14 12:00:00	1500	0.2	6824.008589148508	0.2	
325	2021-01-14 13:00:00	1500	0.2	7039.369600165428	0.2	
326	2021-01-14 14:00:00	1500	0.2	7830.476212280442	0.2	
327	2021-01-14 15:00:00	1500	0.2	8980.324056178457	0.2	
328	2021-01-14 16:00:00	1500	0.2	12709.504211917914	0.2	
329	2021-01-14 17:00:00	1500	0.18	11516.037820859185	0.18	
330	2021-01-14 18:00:00	1500	0.18	12843.074354068545	0.18	
331	2021-01-14 19:00:00	1500	0.18	14398.08648805874	0.18	
332	2021-01-14 20:00:00	1500	0.18	16468.42338396136	0.18	
333	2021-01-14 21:00:00	1500	0.2	15960.573180068286	0.2	
334	2021-01-14 22:00:00	1500	0.2	14671.768621090985	0.2	
335	2021-01-14 23:00:00	1500	0.2	13507.139090098515	0.2	
336	2021-01-15 00:00:00	1500	0.2	11293.277808775532	0.2	
337	2021-01-15 01:00:00	1500	0.2	10851.189338042499	0.2	
338	2021-01-15 02:00:00	1500	0.2	10200.902573681615	0.2	
339	2021-01-15 03:00:00	1500	0.2	9341.709154409886	0.2	
340	2021-01-15 04:00:00	1500	0.2	8536.560500889087	0.2	
341	2021-01-15 05:00:00	1500	0.18	7771.696479439116	0.18	
342	2021-01-15 06:00:00	1500	0.18	8543.468439719116	0.18	
343	2021-01-15 07:00:00	1500	0.18	10138.649627672105	0.18	
344	2021-01-15 08:00:00	1500	0.18	10235.182078205906	0.18	
345	2021-01-15 09:00:00	1500	0.2	7760.008048776179	0.2	
346	2021-01-15 10:00:00	1500	0.2	6646.025691997627	0.2	
347	2021-01-15 11:00:00	1500	0.2	5525.944035721456	0.2	
348	2021-01-15 12:00:00	1500	0.2	4958.620422481837	0.2	
349	2021-01-15 13:00:00	1500	0.2	6782.513266832099	0.2	
350	2021-01-15 14:00:00	1500	0.2	7889.940795613772	0.2	
351	2021-01-15 15:00:00	1500	0.2	8862.171139511787	0.2	
352	2021-01-15 16:00:00	1500	0.2	11278.024461917938	0.2	
353	2021-01-15 17:00:00	1500	0.18	12309.369154192478	0.18	
354	2021-01-15 18:00:00	1500	0.18	13559.65468740184	0.18	
355	2021-01-15 19:00:00	1500	0.18	16157.421654725444	0.18	
356	2021-01-15 20:00:00	1500	0.18	18064.41830062795	0.18	
357	2021-01-15 21:00:00	1500	0.2	17796.243430068283	0.2	
358	2021-01-15 22:00:00	1500	0.2	16385.74970442428	0.2	
359	2021-01-15 23:00:00	1500	0.2	14341.70942343181	0.2	
360	2021-01-16 00:00:00	1500	0.2	11293.277808775532	0.2	
361	2021-01-16 01:00:00	1500	0.2	10851.189338042499	0.2	
362	2021-01-16 02:00:00	1500	0.2	10200.902573681615	0.2	
363	2021-01-16 03:00:00	1500	0.2	9341.709154409886	0.2	
364	2021-01-16 04:00:00	1500	0.2	8536.560500889087	0.2	
365	2021-01-16 05:00:00	1500	0.18	7771.696479439116	0.18	
366	2021-01-16 06:00:00	1500	0.18	8543.468439719116	0.18	
367	2021-01-16 07:00:00	1500	0.18	10138.649627672105	0.18	
368	2021-01-16 08:00:00	1500	0.18	10235.182078205906	0.18	
