simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
3042	2018-05-07 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3043	2018-05-07 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3044	2018-05-07 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3045	2018-05-07 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3046	2018-05-07 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3047	2018-05-07 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3048	2018-05-08 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3049	2018-05-08 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3050	2018-05-08 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3051	2018-05-08 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3052	2018-05-08 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3053	2018-05-08 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3054	2018-05-08 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3055	2018-05-08 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3056	2018-05-08 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3057	2018-05-08 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3058	2018-05-08 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3059	2018-05-08 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3060	2018-05-08 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3061	2018-05-08 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3062	2018-05-08 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3063	2018-05-08 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3064	2018-05-08 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3065	2018-05-08 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3066	2018-05-08 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3067	2018-05-08 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3068	2018-05-08 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
