simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
2428	2018-04-12 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2429	2018-04-12 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2430	2018-04-12 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2431	2018-04-12 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2432	2018-04-12 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2433	2018-04-12 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2434	2018-04-12 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2435	2018-04-12 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2436	2018-04-12 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2437	2018-04-12 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2438	2018-04-12 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2439	2018-04-12 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2440	2018-04-12 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2441	2018-04-12 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2442	2018-04-12 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2443	2018-04-12 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2444	2018-04-12 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2445	2018-04-12 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2446	2018-04-12 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2447	2018-04-12 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2448	2018-04-13 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2449	2018-04-13 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2450	2018-04-13 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2451	2018-04-13 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2452	2018-04-13 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2453	2018-04-13 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2454	2018-04-13 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2455	2018-04-13 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2456	2018-04-13 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2457	2018-04-13 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2458	2018-04-13 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2459	2018-04-13 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2460	2018-04-13 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2461	2018-04-13 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2462	2018-04-13 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2463	2018-04-13 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2464	2018-04-13 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2465	2018-04-13 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2466	2018-04-13 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2467	2018-04-13 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2468	2018-04-13 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2469	2018-04-13 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2470	2018-04-13 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2471	2018-04-13 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2472	2018-04-14 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2473	2018-04-14 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2474	2018-04-14 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2475	2018-04-14 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2476	2018-04-14 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2477	2018-04-14 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2478	2018-04-14 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2479	2018-04-14 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2480	2018-04-14 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2481	2018-04-14 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2482	2018-04-14 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2483	2018-04-14 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2484	2018-04-14 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2485	2018-04-14 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2486	2018-04-14 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2487	2018-04-14 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2488	2018-04-14 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2489	2018-04-14 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2490	2018-04-14 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2491	2018-04-14 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2492	2018-04-14 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2493	2018-04-14 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2494	2018-04-14 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2495	2018-04-14 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2496	2018-04-15 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2497	2018-04-15 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2498	2018-04-15 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2499	2018-04-15 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2500	2018-04-15 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2501	2018-04-15 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2502	2018-04-15 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2503	2018-04-15 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2504	2018-04-15 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2505	2018-04-15 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2506	2018-04-15 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2507	2018-04-15 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2508	2018-04-15 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2509	2018-04-15 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2510	2018-04-15 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2511	2018-04-15 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2512	2018-04-15 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2513	2018-04-15 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2514	2018-04-15 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2515	2018-04-15 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2516	2018-04-15 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2517	2018-04-15 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2518	2018-04-15 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2519	2018-04-15 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2520	2018-04-16 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2521	2018-04-16 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2522	2018-04-16 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2523	2018-04-16 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2524	2018-04-16 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2525	2018-04-16 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2526	2018-04-16 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2527	2018-04-16 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2528	2018-04-16 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2529	2018-04-16 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2530	2018-04-16 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2531	2018-04-16 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2532	2018-04-16 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2533	2018-04-16 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2534	2018-04-16 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2535	2018-04-16 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2536	2018-04-16 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2537	2018-04-16 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2538	2018-04-16 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2539	2018-04-16 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2540	2018-04-16 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2541	2018-04-16 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2542	2018-04-16 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2543	2018-04-16 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2544	2018-04-17 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2545	2018-04-17 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2546	2018-04-17 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2547	2018-04-17 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2548	2018-04-17 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2549	2018-04-17 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2550	2018-04-17 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2551	2018-04-17 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2552	2018-04-17 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
